source_pcap,folder_type,label,window_index,flow_duration,header_length,protocol_type,ttl,rate,srate,drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,HTTP_count,HTTPS_count,DNS_count,Telnet_count,SMTP_count,SSH_count,IRC_count,DHCP_count,ARP_count,ICMP_count,IPv_count,LLC_count,TCP_count,UDP_count,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Variance
postgresql.pcapng,Hydra,Bruteforce,0,2.1097419261932373,4,0,0.2,4.739916231386526,0.0,4.739916231386526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,4,3056,60,669,305.6,288.8270070474712,3056,0.23441576957702637,10,83421.04
postgresql.pcapng,Hydra,Bruteforce,1,0.42434024810791016,8,3,0.4,23.565994610666746,9.426397844266697,14.139596766400047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,5452,90,669,545.2,227.77567912312324,5452,0.04714891645643446,10,51881.76
postgresql.pcapng,Hydra,Bruteforce,2,1.7751517295837402,14,2,44.8,5.633321272399022,0.0,5.633321272399022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,7,0,728,60,90,72.8,7.95989949685296,728,0.19723908106486002,10,63.36
postgresql.pcapng,Hydra,Bruteforce,3,2.384185791015625e-07,20,2,64,41943040.0,41943040.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,740,74,74,74,0.0,740,2.6490953233506943e-08,10,0
postgresql.pcapng,Hydra,Bruteforce,4,2.86102294921875e-05,20,2,64,349525.3333333333,349525.3333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,740,74,74,74,0.0,740,3.1789143880208335e-06,10,0
postgresql.pcapng,Hydra,Bruteforce,5,0.0021207332611083984,20,2,64,4715.3501967397415,2357.6750983698707,2357.6750983698707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,740,74,74,74,0.0,740,0.00023563702901204428,10,0
postgresql.pcapng,Hydra,Bruteforce,6,-2.384185791015625e-07,20,2,64,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,740,74,74,74,0.0,740,-2.6490953233506943e-08,10,0
postgresql.pcapng,Hydra,Bruteforce,7,-1.1920928955078125e-06,20,2,64,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,740,74,74,74,0.0,740,-1.3245476616753473e-07,10,0
postgresql.pcapng,Hydra,Bruteforce,8,0.00012612342834472656,20,2,64,79287.41020793951,55501.187145557655,23786.223062381854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,716,66,74,71.6,3.666060555964672,716,1.4013714260525174e-05,10,13.44
postgresql.pcapng,Hydra,Bruteforce,9,4.291534423828125e-05,20,2,64,233016.88888888888,233016.88888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,660,66,66,66,0.0,660,4.76837158203125e-06,10,0
