source_pcap,folder_type,label,window_index,flow_duration,header_length,protocol_type,ttl,rate,srate,drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,HTTP_count,HTTPS_count,DNS_count,Telnet_count,SMTP_count,SSH_count,IRC_count,DHCP_count,ARP_count,ICMP_count,IPv_count,LLC_count,TCP_count,UDP_count,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Variance
automated_SQLI.pcapng,Injections,Injections,0,0.7579739093780518,8,3,0.4,13.193066247102626,5.277226498841051,7.915839748261576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,5452,90,669,545.2,227.77567912312324,5452,0.08421932326422797,10,51881.76
automated_SQLI.pcapng,Injections,Injections,1,16.487505674362183,8,0,13,0.6065198822372414,0.0,0.6065198822372414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,4,3114,60,669,311.4,284.0204922184313,3114,1.8319450749291315,10,80667.64
automated_SQLI.pcapng,Injections,Injections,2,0.004817485809326172,14,2,44.8,2075.771553004058,0.0,2075.771553004058,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,7,0,7,0,984,60,229,98.4,65.48007330478487,984,0.0005352762010362414,10,4287.639999999999
automated_SQLI.pcapng,Injections,Injections,3,0.046904802322387695,20,2,64,213.19778583155852,127.91867149893511,85.27911433262341,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,4152,66,1807,415.2,632.0029746765437,4152,0.005211644702487522,10,399427.75999999995
automated_SQLI.pcapng,Injections,Injections,4,0.021368026733398438,20,2,64,467.98893153619565,187.19557261447827,280.7933589217174,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,2130,66,457,213,165.39165637963725,2130,0.0023742251925998265,10,27354.4
automated_SQLI.pcapng,Injections,Injections,5,0.0185089111328125,20,2,64,540.280296784831,216.1121187139324,324.1681780708986,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,10415,66,2962,1041.5,879.3110086880523,10415,0.002056545681423611,10,773187.85
automated_SQLI.pcapng,Injections,Injections,6,0.021029949188232422,20,2,64,475.51232342471036,190.20492936988413,285.3073940548262,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,2365,66,673,236.5,210.95461597225125,2365,0.0023366610209147134,10,44501.85
automated_SQLI.pcapng,Injections,Injections,7,0.020765304565429688,20,2,64,481.57251768163866,337.1007623771471,144.4717553044916,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,10442,66,1718,1044.2,627.135998010001,10442,0.002307256062825521,10,393299.56
automated_SQLI.pcapng,Injections,Injections,8,0.025547027587890625,20,2,64,391.4349708824847,274.00447961773926,117.43049126474541,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,10,0,8682,66,2962,868.2,918.9481813464783,8682,0.002838558620876736,10,844465.76
automated_SQLI.pcapng,Injections,Injections,9,0.04294228553771973,20,2,64,232.87069783968954,139.72241870381373,93.14827913587581,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,2818,66,1864,281.8,537.5553552891088,2818,0.004771365059746636,10,288965.76
