source_pcap,folder_type,label,window_index,flow_duration,header_length,protocol_type,ttl,rate,srate,drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,HTTP_count,HTTPS_count,DNS_count,Telnet_count,SMTP_count,SSH_count,IRC_count,DHCP_count,ARP_count,ICMP_count,IPv_count,LLC_count,TCP_count,UDP_count,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Variance
automated_all.pcapng,Injections,Injections,0,0.7571706771850586,8,3,0.4,13.207061896766929,0.0,13.207061896766929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,5452,90,669,545.2,227.77567912312324,5452,0.08413007524278429,10,51881.76
automated_all.pcapng,Injections,Injections,1,2.8192708492279053,10,3,19.4,3.5470164219016533,0.0,3.5470164219016533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,3104,66,669,310.4,284.8526636701858,3104,0.3132523165808784,10,81141.04
automated_all.pcapng,Injections,Injections,2,0.3489797115325928,20,2,64,28.654960931922414,20.05847265234569,8.596488279576725,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,1018,66,229,101.8,63.7005494481798,1018,0.03877552350362142,10,4057.7599999999998
automated_all.pcapng,Injections,Injections,3,0.022951126098632812,20,2,64,435.70846837862547,261.4250810271753,174.2833873514502,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,4152,66,1807,415.2,632.0029746765437,4152,0.0025501251220703125,10,399427.75999999995
automated_all.pcapng,Injections,Injections,4,0.021533727645874023,20,2,64,464.38778108703593,278.6326686522216,185.75511243481438,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,10,0,2590,66,457,259,149.31309386654607,2590,0.002392636405097114,10,22294.4
automated_all.pcapng,Injections,Injections,5,0.00189971923828125,20,2,64,5263.9357429718875,4211.14859437751,1052.7871485943774,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,10562,66,2962,1056.2,971.4381915490043,10562,0.00021107991536458334,10,943692.1599999999
automated_all.pcapng,Injections,Injections,6,0.017499923706054688,20,2,64,571.4310626702998,342.85863760217984,228.57242506811988,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,10,0,2648,66,492,264.8,161.61113823001185,2648,0.0019444359673394097,10,26118.16
automated_all.pcapng,Injections,Injections,7,0.0004334449768066406,20,2,64,23070.979097909792,13842.587458745875,9228.391639163916,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,9756,66,2962,975.6,957.8061599300769,9756,4.8160552978515625e-05,10,917392.64
automated_all.pcapng,Injections,Injections,8,0.019010066986083984,20,2,64,526.0370732686182,420.8296586148945,105.20741465372363,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,10,0,10626,71,2962,1062.6,908.926751724252,10626,0.002112229665120443,10,826147.84
automated_all.pcapng,Injections,Injections,9,1.9195356369018555,20,2,64,5.209593303586733,4.167674642869386,1.0419186607173465,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,1220,66,341,122,109.5171219490359,1220,0.2132817374335395,10,11994
automated_all.pcapng,Injections,Injections,10,0.002972841262817383,20,2,64,3363.785387761649,2354.649771433154,1009.1356163284946,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,10712,66,2962,1071.2,871.7573974449542,10712,0.00033031569586859807,10,759960.96
automated_all.pcapng,Injections,Injections,11,3.33540678024292,20,2,64,2.9981350578389403,1.4990675289194701,1.4990675289194701,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,9908,66,2962,990.8,915.3076859723183,9908,0.37060075336032444,10,837788.16
automated_all.pcapng,Injections,Injections,12,3.5938808917999268,20,2,64,2.7825073509856058,1.6695044105913635,1.1130029403942423,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,10,0,9162,66,2962,916.2,886.1675688040044,9162,0.3993200990888808,10,785292.96
automated_all.pcapng,Injections,Injections,13,1.3857462406158447,20,2,64,7.216328435107904,4.329797061064743,2.8865313740431615,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,5472,66,1514,547.2,544.8571922990463,5472,0.15397180451287162,10,296869.36
automated_all.pcapng,Injections,Injections,14,0.002701282501220703,20,2,64,3701.945278022948,2221.1671668137687,1480.778111209179,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,8610,66,2962,861,927.8323124358194,8610,0.0003001425001356337,10,860872.8
automated_all.pcapng,Injections,Injections,15,0.02320098876953125,20,2,64,431.016113120684,258.6096678724104,172.4064452482736,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,2328,66,609,232.8,217.97192479766747,2328,0.002577887641059028,10,47511.76
automated_all.pcapng,Injections,Injections,16,0.04923677444458008,20,2,64,203.1002256505612,81.24009026022449,121.86013539033674,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,2176,66,500,217.6,187.20534180412693,2176,0.005470752716064453,10,35045.84
automated_all.pcapng,Injections,Injections,17,3.5860745906829834,20,2,64,2.7885644169201336,1.6731386501520802,1.1154257667680534,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,2186,66,520,218.6,192.43866555346926,2186,0.3984527322981093,10,37032.64
automated_all.pcapng,Injections,Injections,18,8.421278953552246,20,2,64,1.1874680859231983,0.7124808515539189,0.4749872343692793,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,5582,66,2962,558.2,906.7675336049477,5582,0.9356976615058051,10,822227.3600000001
automated_all.pcapng,Injections,Injections,19,0.003283262252807617,20,2,64,3045.7512163241595,1827.4507297944956,1218.3004865296639,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,5714,66,2962,571.4,904.11716054945,5714,0.0003648069169786241,10,817427.84
automated_all.pcapng,Injections,Injections,20,1.4913439750671387,20,2,64,6.705361182385714,2.6821444729542856,4.023216709431429,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,8518,66,2962,851.8,932.3665373660725,8518,0.16570488611857095,10,869307.3599999999
automated_all.pcapng,Injections,Injections,21,2.6169464588165283,20,2,64,3.821247456672208,2.2927484740033246,1.5284989826688833,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,3392,66,1514,339.2,420.3700274757942,3392,0.29077182875739205,10,176710.95999999996
automated_all.pcapng,Injections,Injections,22,0.010776519775390625,20,2,64,927.9433628318584,742.3546902654867,185.58867256637168,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,10048,66,2962,1004.8,905.8243538346715,10048,0.001197391086154514,10,820517.76
automated_all.pcapng,Injections,Injections,23,1.8267066478729248,20,2,64,5.474332735168133,2.189733094067253,3.28459964110088,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,1220,66,341,122,109.5171219490359,1220,0.20296740531921387,10,11994
automated_all.pcapng,Injections,Injections,24,0.0020606517791748047,20,2,64,4852.833506884183,2911.70010413051,1941.1334027536734,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,10025,66,2962,1002.5,919.871648655398,10025,0.00022896130879720053,10,846163.85
automated_all.pcapng,Injections,Injections,25,4.17432713508606,20,2,64,2.395595667610233,0.9582382670440932,1.4373574005661398,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,1987,66,743,198.7,220.700271862089,1987,0.4638141261206733,10,48708.60999999999
automated_all.pcapng,Injections,Injections,26,0.026770830154418945,20,2,64,373.540900387407,261.47863027118495,112.06227011622211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,10842,66,2962,1084.2,1082.3929785433754,10842,0.0029745366838243273,10,1171574.56
automated_all.pcapng,Injections,Injections,27,1.5406734943389893,20,2,64,6.49066790383799,3.8944007423027944,2.5962671615351964,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,2444,66,633,244.4,230.12222839178315,2444,0.17118594381544325,10,52956.240000000005
automated_all.pcapng,Injections,Injections,28,3.722309112548828,20,2,64,2.6865044513061846,1.3432522256530923,1.3432522256530923,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,9922,66,2962,992.2,914.3251937904807,9922,0.41358990139431423,10,835990.56
automated_all.pcapng,Injections,Injections,29,3.4999773502349854,20,2,64,2.8571613468666044,1.7142968081199625,1.1428645387466418,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,5534,66,1514,553.4,544.8088105014456,5534,0.3888863722483317,10,296816.64
automated_all.pcapng,Injections,Injections,30,0.001988649368286133,20,2,64,5028.538544539024,3017.1231267234143,2011.4154178156095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,7152,66,1514,715.2,664.620914506909,7152,0.00022096104092068144,10,441720.96
automated_all.pcapng,Injections,Injections,31,1.148698329925537,20,2,64,8.70550582296767,3.482202329187068,5.223303493780602,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,1256,66,359,125.6,116.71606573218617,1256,0.12763314776950413,10,13622.640000000001
automated_all.pcapng,Injections,Injections,32,2.0539088249206543,20,2,64,4.868765292143051,1.9475061168572203,2.921259175285831,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,10,0,2364,66,623,236.4,223.24569424739195,2364,0.22821209165785047,10,49838.64000000001
automated_all.pcapng,Injections,Injections,33,0.024717092514038086,20,2,64,404.5783295232032,242.74699771392193,161.8313318092813,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,1782,66,622,178.2,221.90844959126724,1782,0.0027463436126708984,10,49243.36
automated_all.pcapng,Injections,Injections,34,0.02326679229736328,20,2,64,429.79710620158215,171.91884248063286,257.8782637209493,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,10,0,10659,66,2962,1065.9,864.5628317247972,10659,0.0025851991441514757,10,747468.89
automated_all.pcapng,Injections,Injections,35,4.381709337234497,20,2,64,2.282214366668025,1.1411071833340125,1.1411071833340125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,3105,66,793,310.5,271.0454758891946,3105,0.4868565930260552,10,73465.65
automated_all.pcapng,Injections,Injections,36,3.5306718349456787,20,2,64,2.832322137963257,1.4161610689816284,1.4161610689816284,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,2664,66,1514,266.4,429.442708635273,2664,0.39229687054951984,10,184421.03999999998
automated_all.pcapng,Injections,Injections,37,0.0025441646575927734,20,2,64,3930.563208696467,2358.33792521788,1572.2252834785868,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,8742,66,2962,874.2,921.9293682273063,8742,0.0002826849619547526,10,849953.7600000001
automated_all.pcapng,Injections,Injections,38,0.022750377655029297,20,2,64,439.5531428810966,175.82125715243865,263.73188572865797,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,10,0,10570,66,2962,1057,869.2327651440665,10570,0.0025278197394477,10,755565.6
automated_all.pcapng,Injections,Injections,39,1.204097032546997,20,2,64,8.304978527226535,4.152489263613267,4.152489263613267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,2970,66,738,297,256.70216204777086,2970,0.13378855917188856,10,65896
automated_all.pcapng,Injections,Injections,40,3.8959109783172607,20,2,64,2.5667937629106823,1.2833968814553411,1.2833968814553411,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,1722,66,520,172.2,164.97987756087105,1722,0.4328789975908067,10,27218.36
automated_all.pcapng,Injections,Injections,41,4.696043968200684,20,2,64,2.1294519531152427,0.851780781246097,1.2776711718691456,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,2188,66,520,218.8,189.60316453055313,2188,0.5217826631334093,10,35949.36
automated_all.pcapng,Injections,Injections,42,4.57430100440979,20,2,64,2.186126359056748,0.8744505436226993,1.3116758154340489,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,2246,66,520,224.6,194.84722220242196,2246,0.5082556671566434,10,37965.439999999995
automated_all.pcapng,Injections,Injections,43,3.033052682876587,20,2,64,3.2970083429331893,1.3188033371732757,1.9782050057599136,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,1770,66,520,177,170.76709284871018,1770,0.3370058536529541,10,29161.4
automated_all.pcapng,Injections,Injections,44,4.8196635246276855,20,2,64,2.0748336370167024,1.0374168185083512,1.0374168185083512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,1919,66,520,191.9,192.3681106628643,1919,0.5355181694030762,10,37005.490000000005
automated_all.pcapng,Injections,Injections,45,0.02427077293395996,20,2,64,412.0181927130915,164.8072770852366,247.2109156278549,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,1919,66,520,191.9,192.3681106628643,1919,0.0026967525482177734,10,37005.490000000005
