source_pcap,folder_type,label,window_index,flow_duration,header_length,protocol_type,ttl,rate,srate,drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,HTTP_count,HTTPS_count,DNS_count,Telnet_count,SMTP_count,SSH_count,IRC_count,DHCP_count,ARP_count,ICMP_count,IPv_count,LLC_count,TCP_count,UDP_count,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Variance
dvwa_command_execution_low.pcapng,Injections,Injections,0,0.7607166767120361,8,3,0.4,13.145498588544061,5.258199435417625,7.8872991531264365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,5452,90,669,545.2,227.77567912312324,5452,0.08452407519022624,10,51881.76
dvwa_command_execution_low.pcapng,Injections,Injections,1,5.728607892990112,8,0,13,1.7456247986943974,0.0,1.7456247986943974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,4,3114,60,669,311.4,284.0204922184313,3114,0.6365119881100125,10,80667.64
dvwa_command_execution_low.pcapng,Injections,Injections,2,0.004477500915527344,14,2,44.8,2233.3887113951014,0.0,2233.3887113951014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,7,0,7,0,1932,60,703,193.2,254.94619040103345,1932,0.0004975001017252604,10,64997.56
dvwa_command_execution_low.pcapng,Injections,Injections,3,2.023989677429199,20,2,64,4.940736660624499,3.9525893284995997,0.9881473321248999,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,12244,66,2962,1224.4,868.8000000000001,12244,0.22488774193657768,10,754813.4400000001
dvwa_command_execution_low.pcapng,Injections,Injections,4,0.001581430435180664,20,2,64,6323.389115030906,2529.3556460123623,3794.0334690185437,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,2392,66,927,239.2,343.90545212310894,2392,0.00017571449279785156,10,118270.95999999998
dvwa_command_execution_low.pcapng,Injections,Injections,5,2.025984048843384,20,2,64,4.935873017217935,1.4807619051653804,3.4551111120525544,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,10628,66,2962,1062.8,875.0274052851145,10628,0.22510933876037598,10,765672.96
dvwa_command_execution_low.pcapng,Injections,Injections,6,4.077940464019775,20,2,64,2.4522182430644497,1.7165527701451146,0.7356654729193349,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,6522,66,2360,652.2,738.2472214644631,6522,0.45310449600219727,10,545008.96
dvwa_command_execution_low.pcapng,Injections,Injections,7,2.0326883792877197,20,2,64,4.91959323519335,2.95175594111601,1.9678372940773399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9348,66,2962,934.8,1158.4,9348,0.2258542643653022,10,1341890.56
dvwa_command_execution_low.pcapng,Injections,Injections,8,6.529799222946167,20,2,64,1.531440655152046,0.9188643930912277,0.6125762620608185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,7232,66,1992,723.2,679.7971462134863,7232,0.7255332469940186,10,462124.16000000003
dvwa_command_execution_low.pcapng,Injections,Injections,9,0.0022361278533935547,20,2,64,4472.016206418595,2683.209723851157,1788.8064825674378,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,11288,66,2962,1128.8,961.3424779962654,11288,0.0002484586503770616,10,924179.36
dvwa_command_execution_low.pcapng,Injections,Injections,10,3.527090549468994,16,2,51.2,2.835197979679174,0.8505593939037522,1.9846385857754218,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,8,0,1785,62,697,178.5,226.65932586152283,1785,0.39189894994099933,10,51374.45
dvwa_command_execution_low.pcapng,Injections,Injections,11,2.069337844848633,20,2,64,4.832463691172418,1.4497391073517254,3.3827245838206923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9979,66,2962,997.9,921.2717785756818,9979,0.22992642720540366,10,848741.69
dvwa_command_execution_low.pcapng,Injections,Injections,12,4.989941120147705,20,2,64,2.0040316627431456,1.2024189976458874,0.8016126650972583,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,5476,66,1813,547.6,615.8384853189999,5476,0.5544379022386339,10,379257.04000000004
dvwa_command_execution_low.pcapng,Injections,Injections,13,2.0385653972625732,20,2,64,4.905410448655806,2.9432462691934833,1.9621641794623221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9348,66,2962,934.8,960.4945392869238,9348,0.22650726636250815,10,922549.76
dvwa_command_execution_low.pcapng,Injections,Injections,14,2.360771894454956,14,2,32.2,4.235902682291443,1.2707708046874329,2.9651318776040103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,4,7644,66,2360,764.4,678.5869435820291,7644,0.2623079882727729,10,460480.24
dvwa_command_execution_low.pcapng,Injections,Injections,15,0.1100921630859375,8,3,0.4,90.83298683298683,0.0,90.83298683298683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,5452,90,669,545.2,227.77567912312324,5452,0.012232462565104166,10,51881.76
