source_pcap,folder_type,label,window_index,flow_duration,header_length,protocol_type,ttl,rate,srate,drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,HTTP_count,HTTPS_count,DNS_count,Telnet_count,SMTP_count,SSH_count,IRC_count,DHCP_count,ARP_count,ICMP_count,IPv_count,LLC_count,TCP_count,UDP_count,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Variance
dvwa_sql_injection_low.pcapng,Injections,Injections,0,1.4394919872283936,16,2,38.6,6.9468952163145135,4.168137129788708,2.7787580865258055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,4,3032,66,669,303.2,290.5783199070433,3032,0.15994355413648817,10,84435.76000000001
dvwa_sql_injection_low.pcapng,Injections,Injections,1,1.1701655387878418,8,3,0.4,8.545799434803781,0.0,8.545799434803781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,5452,90,669,545.2,227.77567912312324,5452,0.13001839319864908,10,51881.76
dvwa_sql_injection_low.pcapng,Injections,Injections,2,2.0574584007263184,16,2,51.2,4.860365583318636,0.0,4.860365583318636,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,8,0,1884,66,638,188.4,224.93519066611168,1884,0.22860648896959093,10,50595.84000000001
dvwa_sql_injection_low.pcapng,Injections,Injections,3,0.02243518829345703,20,2,64,445.72837407013816,312.0098618490967,133.71851222104144,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,9348,66,2962,934.8,960.4945392869238,9348,0.0024927986992730033,10,922549.76
dvwa_sql_injection_low.pcapng,Injections,Injections,4,12.745357275009155,20,2,64,0.7845994258323227,0.4707596554993936,0.3138397703329291,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,2034,66,618,203.4,213.0160557328954,2034,1.4161508083343506,10,45375.840000000004
dvwa_sql_injection_low.pcapng,Injections,Injections,5,0.026125669479370117,20,2,64,382.7653108716086,191.3826554358043,191.3826554358043,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,9900,66,2962,990,924.1523683895422,9900,0.0029028521643744577,10,854057.6
dvwa_sql_injection_low.pcapng,Injections,Injections,6,8.552441120147705,20,2,64,1.1692568074443868,0.701554084466632,0.46770272297775467,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,7630,66,2962,763,857.5803169383029,7630,0.9502712355719672,10,735444
dvwa_sql_injection_low.pcapng,Injections,Injections,7,0.0025453567504882812,20,2,64,3928.722367928063,2357.233420756838,1571.4889471712252,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,10796,66,2962,1079.6,927.1723895802764,10796,0.0002828174167209201,10,859648.64
dvwa_sql_injection_low.pcapng,Injections,Injections,8,0.0006172657012939453,20,2,64,16200.478949401313,9720.287369640788,6480.191579760525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9348,66,1514,934.8,709.3722295100084,9348,6.858507792154948e-05,10,503208.96
dvwa_sql_injection_low.pcapng,Injections,Injections,9,0.001775503158569336,20,2,64,5632.206257553377,2252.8825030213507,3379.323754532026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9348,66,1514,934.8,709.3722295100084,9348,0.00019727812872992622,10,503208.96
dvwa_sql_injection_low.pcapng,Injections,Injections,10,0.0006773471832275391,20,2,64,14763.477648715241,8858.086589229144,5905.391059486096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9348,66,1514,934.8,709.3722295100084,9348,7.526079813639323e-05,10,503208.96
dvwa_sql_injection_low.pcapng,Injections,Injections,11,0.00040435791015625,20,2,64,24730.56603773585,9892.22641509434,14838.33962264151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,6452,66,1514,645.2,709.3722295100084,6452,4.492865668402778e-05,10,503208.96
dvwa_sql_injection_low.pcapng,Injections,Injections,12,0.0007965564727783203,20,2,64,12554.037713259504,10043.230170607603,2510.807542651901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,12244,66,1514,1224.4,579.2,12244,8.85062747531467e-05,10,335472.64
dvwa_sql_injection_low.pcapng,Injections,Injections,13,0.0008258819580078125,20,2,64,12108.267898383372,9686.614318706697,2421.6535796766743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,11908,66,1514,1190.8,566.1513578540636,11908,9.176466200086806e-05,10,320527.36
dvwa_sql_injection_low.pcapng,Injections,Injections,14,5.46821665763855,20,2,64,1.8287497782354698,1.0972498669412818,0.7314999112941879,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,6398,66,2962,639.8,903.4751573784416,6398,0.6075796286265055,10,816267.3599999999
dvwa_sql_injection_low.pcapng,Injections,Injections,15,0.0007846355438232422,20,2,64,12744.770586447888,7646.862351868733,5097.908234579155,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,10,0,7453,66,1514,745.3,682.804518145567,7453,8.718172709147136e-05,10,466222.01
dvwa_sql_injection_low.pcapng,Injections,Injections,16,10.015392780303955,20,2,64,0.998463087704935,0.599077852622961,0.399385235081974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,4,1487,66,286,148.7,100.69463739445115,1487,1.1128214200337727,10,10139.41
dvwa_sql_injection_low.pcapng,Injections,Injections,17,4.98896336555481,20,2,64,2.004424419919132,1.2026546519514791,0.8017697679676529,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,10698,66,2962,1069.8,872.2807804829819,10698,0.5543292628394233,10,760873.76
dvwa_sql_injection_low.pcapng,Injections,Injections,18,3.20141863822937,16,2,38.6,3.1236152250087375,1.8741691350052425,1.249446090003495,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,6,4,4996,66,1048,499.6,381.5172866332534,4996,0.3557131820254856,10,145555.44
dvwa_sql_injection_low.pcapng,Injections,Injections,19,0.1621251106262207,8,3,0.4,61.68075976247129,0.0,61.68075976247129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,4873,90,669,487.3,260.22569050729794,4873,0.01801390118069119,10,67717.41
