source_pcap,folder_type,label,window_index,flow_duration,header_length,protocol_type,ttl,rate,srate,drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,HTTP_count,HTTPS_count,DNS_count,Telnet_count,SMTP_count,SSH_count,IRC_count,DHCP_count,ARP_count,ICMP_count,IPv_count,LLC_count,TCP_count,UDP_count,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Variance
Host_Discovery_aggressive.pcapng,NMAP,Recon,0,0.7540853023529053,8,3,0.4,13.261099200313135,5.304439680125253,7.9566595201878805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,5452,90,669,545.2,227.77567912312324,5452,0.08378725581698948,10,51881.76
Host_Discovery_aggressive.pcapng,NMAP,Recon,1,4.1683759689331055,4,0,0.2,2.3990158456266832,0.0,2.3990158456266832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,3116,60,669,311.6,283.93280895310426,3116,0.4631528854370117,10,80617.84
Host_Discovery_aggressive.pcapng,NMAP,Recon,2,5.745887756347656e-05,0,0,0,174037.51037344398,0.0,174037.51037344398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,6.384319729275174e-06,10,0
Host_Discovery_aggressive.pcapng,NMAP,Recon,3,0.20068788528442383,0,0,0,49.82861813421151,0.0,49.82861813421151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,0.022298653920491535,10,0
Host_Discovery_aggressive.pcapng,NMAP,Recon,4,7.319450378417969e-05,0,0,0,136622.28013029316,0.0,136622.28013029316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,8.132722642686633e-06,10,0
Host_Discovery_aggressive.pcapng,NMAP,Recon,5,3.886222839355469e-05,0,0,0,257319.26380368098,0.0,257319.26380368098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,564,42,60,56.4,7.2,564,4.318025377061632e-06,10,51.839999999999996
Host_Discovery_aggressive.pcapng,NMAP,Recon,6,6.389617919921875e-05,0,0,0,156503.8805970149,0.0,156503.8805970149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,7.099575466579861e-06,10,0
Host_Discovery_aggressive.pcapng,NMAP,Recon,7,2.3603439331054688e-05,0,0,0,423667.0707070707,0.0,423667.0707070707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,2.6226043701171875e-06,10,0
Host_Discovery_aggressive.pcapng,NMAP,Recon,8,5.817413330078125e-05,0,0,0,171897.70491803277,0.0,171897.70491803277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,6.463792588975694e-06,10,0
Host_Discovery_aggressive.pcapng,NMAP,Recon,9,2.0265579223632812e-05,0,0,0,493447.5294117647,0.0,493447.5294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,2.2517310248480903e-06,10,0
Host_Discovery_aggressive.pcapng,NMAP,Recon,10,7.390975952148438e-05,0,0,0,135300.12903225806,0.0,135300.12903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,8.212195502387152e-06,10,0
Host_Discovery_aggressive.pcapng,NMAP,Recon,11,3.0517578125e-05,0,0,0,327680.0,0.0,327680.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,3.3908420138888887e-06,10,0
Host_Discovery_aggressive.pcapng,NMAP,Recon,12,5.364418029785156e-05,0,0,0,186413.51111111112,0.0,186413.51111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,5.9604644775390625e-06,10,0
Host_Discovery_aggressive.pcapng,NMAP,Recon,13,2.0503997802734375e-05,0,0,0,487709.76744186046,0.0,487709.76744186046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,2.278221978081597e-06,10,0
