source_pcap,folder_type,label,window_index,flow_duration,header_length,protocol_type,ttl,rate,srate,drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,HTTP_count,HTTPS_count,DNS_count,Telnet_count,SMTP_count,SSH_count,IRC_count,DHCP_count,ARP_count,ICMP_count,IPv_count,LLC_count,TCP_count,UDP_count,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Variance
vuln_scan.pcapng,NMAP,Recon,0,0.7763588428497314,8,3,0.4,12.880641590032813,0.0,12.880641590032813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,5452,90,669,545.2,227.77567912312324,5452,0.08626209364997016,10,51881.76
vuln_scan.pcapng,NMAP,Recon,1,5.19957709312439,10,3,0.5,1.923233336269483,0.9616166681347414,0.9616166681347414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,4310,88,669,431,279.34995972793695,4310,0.5777307881249322,10,78036.4
vuln_scan.pcapng,NMAP,Recon,2,0.4618349075317383,6,3,0.3,21.65275910702523,6.495827732107569,15.15693137491766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4314,90,669,431.4,278.85953453306917,4314,0.051314989725748696,10,77762.64
vuln_scan.pcapng,NMAP,Recon,3,5.147270917892456,12,0,18.1,1.9427770870266312,1.1656662522159786,0.7771108348106525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,4,2,656,60,88,65.6,11.2,656,0.5719189908769395,10,125.44
vuln_scan.pcapng,NMAP,Recon,4,1.71661376953125e-05,20,2,51.7,582542.2222222222,582542.2222222222,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,600,60,60,60,0.0,600,1.9073486328125e-06,10,0
vuln_scan.pcapng,NMAP,Recon,5,0.0025315284729003906,20,2,52.6,3950.1827086080243,2370.1096251648146,1580.0730834432097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,600,60,60,60,0.0,600,0.00028128094143337675,10,0
vuln_scan.pcapng,NMAP,Recon,6,3.814697265625e-06,20,2,64,2621440.0,2621440.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,600,60,60,60,0.0,600,4.238552517361111e-07,10,0
vuln_scan.pcapng,NMAP,Recon,7,0.00024318695068359375,20,2,64,41120.62745098039,24672.376470588235,16448.250980392157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,600,60,60,60,0.0,600,2.7020772298177082e-05,10,0
vuln_scan.pcapng,NMAP,Recon,8,1.1444091796875e-05,20,2,55.4,873813.3333333334,873813.3333333334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,600,60,60,60,0.0,600,1.2715657552083333e-06,10,0
vuln_scan.pcapng,NMAP,Recon,9,2.3365020751953125e-05,20,2,54,427990.20408163266,427990.20408163266,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,600,60,60,60,0.0,600,2.5961134168836806e-06,10,0
