source_pcap,folder_type,label,window_index,flow_duration,header_length,protocol_type,ttl,rate,srate,drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,HTTP_count,HTTPS_count,DNS_count,Telnet_count,SMTP_count,SSH_count,IRC_count,DHCP_count,ARP_count,ICMP_count,IPv_count,LLC_count,TCP_count,UDP_count,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Variance
4rasp_benign.pcapng,benign,Benign,0,0.037079572677612305,20,2,64,269.6902708924082,161.81416253544492,107.87610835696327,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,10,0,1812,66,346,181.2,131.60911822514427,1812,0.0041199525197347,10,17320.96
4rasp_benign.pcapng,benign,Benign,1,0.1568300724029541,20,2,64,63.76328115379762,25.50531246151905,38.257968692278574,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,10,0,2900,66,914,290,329.30472210401115,2900,0.017425563600328233,10,108441.6
4rasp_benign.pcapng,benign,Benign,2,0.02537703514099121,20,2,64,394.05706554928173,236.43423932956904,157.6228262197127,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,10,0,2388,66,914,238.8,337.65686724839463,2388,0.0028196705712212455,10,114012.16
4rasp_benign.pcapng,benign,Benign,3,0.0034477710723876953,20,2,64,2900.4245902772977,1740.2547541663785,1160.169836110919,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,10,0,1036,66,150,103.6,32.848744268236494,1036,0.00038308567470974394,10,1079.04
4rasp_benign.pcapng,benign,Benign,4,0.14644312858581543,8,0,25.6,68.28589430292058,0.0,68.28589430292058,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,4,0,4,0,656,60,82,65.6,8.522910301065007,656,0.01627145873175727,10,72.64
4rasp_benign.pcapng,benign,Benign,5,0.004831790924072266,20,2,64,2069.625974538636,1241.7755847231817,827.8503898154545,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,10,0,868,66,118,86.8,25.474693324945054,868,0.0005368656582302517,10,648.96
4rasp_benign.pcapng,benign,Benign,6,0.8571107387542725,8,0,25.6,11.667103850004297,2.3334207700008593,9.333683080003437,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,4,0,4,0,792,60,150,79.2,35.476189197826756,792,0.0952345265282525,10,1258.56
4rasp_benign.pcapng,benign,Benign,7,0.006880998611450195,8,3,0.4,1453.2774332143724,581.3109732857489,871.9664599286234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,8,5392,60,669,539.2,239.76688678797996,5392,0.0007645554012722439,10,57488.16
4rasp_benign.pcapng,benign,Benign,8,0.10033869743347168,0,0,0,99.66244585375821,0.0,99.66244585375821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,780,60,90,78,14.696938456699069,780,0.01114874415927463,10,216
4rasp_benign.pcapng,benign,Benign,9,0.6697206497192383,8,3,0.4,14.93159872581534,0.0,14.93159872581534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,4294,90,669,429.4,277.2151511010897,4294,0.07441340552435981,10,76848.24
4rasp_benign.pcapng,benign,Benign,10,0.4058043956756592,6,0,0.3,24.64241419403584,0.0,24.64241419403584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3735,90,669,373.5,283.5846434488299,3735,0.045089377297295466,10,80420.25
4rasp_benign.pcapng,benign,Benign,11,0.012167930603027344,2,0,0.1,821.8324320087781,82.18324320087781,739.6491888079003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3775,90,669,377.5,287.55564678858246,3775,0.0013519922892252605,10,82688.25
4rasp_benign.pcapng,benign,Benign,12,1.1642425060272217,0,0,0,8.589275815159239,0.0,8.589275815159239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,750,60,90,75,15.0,750,0.12936027844746908,10,225
4rasp_benign.pcapng,benign,Benign,13,1.9969799518585205,0,0,0,5.007561538458783,0.0,5.007561538458783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,600,60,60,60,0.0,600,0.2218866613176134,10,0
4rasp_benign.pcapng,benign,Benign,14,3.0002665519714355,14,2,44.8,3.3330371907886422,0.0,3.3330371907886422,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,7,0,902,60,134,90.2,29.657376822638916,902,0.3333629502190484,10,879.5600000000001
